Hours of sleep
7.0
7.5
8.0
8.0
4.0
8.0
8.0
7.0
8.0
10.0
7.5
6.0
8.0
7.0
7.0
6.0
6.0
7.0
9.0
7.0
6.0
6.0
6.0
7.0
6.0
4.0
9.0
7.0
6.0
6.0
8.0
7.0
7.0
8.0
8.0
8.0
5.0
7.0
6.0
8.0
7.0
7.0
7.0
6.0
7.0
6.0
2.0
9.0
3.0
8.0
8.0
20.0
7.0
7.0
6.5
7.0
8.5
8.0
10.0
7.0
9.0
8.0
8.0
8.0
7.0
8.0
7.0
8.0
3.0
8.0
8.0
6.0
7.0
5.0
7.0
7.0
6.0
8.0
7.5
6.0
8.0
6.0
8.0
7.0
8.0
6.0
8.0
7.0
8.0
7.0
7.0
6.0
8.0
6.0
8.0
8.0
8.0
8.0
8.0
9.0
7.0
9.0
6.0
8.0
9.0
7.0
6.0
7.0
8.0
5.0
7.0
7.0
7.0
6.0
6.0
7.0
8.0
7.0
7.0
6.0
8.0
8.0
9.0
7.0
8.0
8.0
7.0
7.0
6.5
7.5
8.0
9.0
6.0
7.0
6.0
6.0
6.0
7.0
5.0
7.0
6.0
8.0
7.0
9.0
6.0
7.0
7.0
8.0
6.0
12.0
7.5
7.0
9.0
7.0
8.0
7.0
8.0
4.0
6.0
7.0
7.0
8.0
7.0
6.0
8.0
6.0
7.0
7.0
6.0
10.0
7.0
8.0
8.0
8.0
5.0
5.0
8.0
8.0
8.0
7.0
6.0
7.0
9.0
7.5
5.0
8.0
8.0
6.0
4.0
7.0
7.0
8.0
8.0
6.0
8.0
7.0
7.0
1.0
6.0
6.0
5.0
9.0
7.0
6.0
8.0
10.0
9.0
9.0
8.0
8.0
8.0
7.0
6.0
7.0
8.0
8.0
7.0
6.0
5.0
7.0
7.0
6.0
7.0
6.0
6.0
6.0
9.0
6.0
7.5
6.0
6.0
7.0
7.0
8.0
8.0
8.0
7.0
7.0
8.0
6.0
8.0
7.0
6.0
7.0
6.0
8.0
7.0
8.0
8.0
12.0
10.0
4.0
5.0
6.5
9.0
9.0
6.0
7.0
10.0
7.0
6.0
6.0
6.5
7.0
7.0
10.0
8.0
6.0
10.0
6.0
7.0
4.0
8.0
8.0
8.0
8.0
8.0
8.0
7.0
8.0
7.0
7.0
7.0
8.0
7.0
10.0
7.0
8.0
7.0
8.0
7.0
6.0
7.0
6.0
8.0
8.0
7.0
0.0
7.0
8.0
5.0
5.0
8.0
8.0
8.0
7.0
6.0
6.5
8.0
8.0
5.0
8.0
7.0
7.0
9.0
6.0
7.0
8.5
7.0
10.0
8.0
8.0
8.0
7.0
8.0
8.0
8.0
8.0
7.0
9.0
5.0
7.0
9.0
6.0
3.0
7.0
10.0
6.0
6.0
7.5
7.5
8.0
6.0
12.0
5.0
11.0
8.0
8.0
8.0
6.0
7.0
8.0
8.0
8.0
6.0
9.0
7.0
6.0
7.0
8.0
10.0
7.5
7.0
8.0
11.0
7.0
8.0
7.0
10.0
8.0
8.0
7.0
8.0
