,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
92,2013,11/16/2013,vs.,Ohio State,,L,35.0,60.0,
93,2013,11/23/2013,@,Purdue,,W,20.0,16.0,
94,2013,11/30/2013,vs.,Northwestern,,L,34.0,37.0,
95,2012,9/1/2012,vs.,Western Michigan,,W,24.0,7.0,
96,2012,9/8/2012,@,Arizona State,,L,14.0,45.0,
97,2012,9/15/2012,vs.,Charleston Southern,,W,44.0,0.0,
98,2012,9/22/2012,vs.,Louisiana Tech,,L,24.0,52.0,
99,2012,9/29/2012,vs.,Penn State,,L,7.0,35.0,
100,2012,10/6/2012,@,Wisconsin,,L,14.0,31.0,
101,2012,10/13/2012,@,Michigan,,L,0.0,45.0,
102,2012,10/27/2012,vs.,Indiana,,L,17.0,31.0,Homecoming
103,2012,11/3/2012,@,Ohio State,,L,22.0,52.0,
104,2012,11/10/2012,vs.,Minnesota,,L,3.0,17.0,
105,2012,11/17/2012,vs.,Purdue,,L,17.0,20.0,
106,2012,11/24/2012,@,Northwestern,,L,14.0,50.0,
107,2011,9/3/2011,vs.,Arkansas State,,W,33.0,15.0,
108,2011,9/10/2011,vs.,South Dakota State,,W,56.0,3.0,
109,2011,9/17/2011,vs.,Arizona State,,W,17.0,14.0,
110,2011,9/24/2011,vs.,Western Michigan,,W,23.0,20.0,
111,2011,10/1/2011,vs.,Northwestern,,W,38.0,35.0,Homecoming
112,2011,10/8/2011,@,Indiana,,W,41.0,20.0,
113,2011,10/15/2011,vs.,Ohio State,,L,7.0,17.0,
114,2011,10/22/2011,@,Purdue,,L,14.0,21.0,
115,2011,10/29/2011,@,Penn State,,L,7.0,10.0,
116,2011,11/12/2011,vs.,Michigan,,L,14.0,31.0,
117,2011,11/19/2011,vs.,Wisconsin,,L,17.0,28.0,
118,2011,11/26/2011,@,Minnesota,,L,7.0,27.0,
119,2011,12/31/2011,"San Francisco, CA",UCLA,,W,20.0,14.0,Fight Hunger Bowl
120,2010,9/4/2010,"St. Louis, MO",Missouri,,L,13.0,23.0,
121,2010,9/11/2010,vs.,Southern Illinois,,W,35.0,3.0,
122,2010,9/18/2010,vs.,Northern Illinois,,W,28.0,22.0,
