,Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
398,1987,11/7/1987,@,Indiana,,L,22.0,34.0,
399,1987,11/14/1987,vs.,Michigan,,L,14.0,17.0,
400,1987,11/21/1987,@,Northwestern,,L,10.0,28.0,
401,1986,9/6/1986,vs.,Louisville,,W,23.0,0.0,
402,1986,9/13/1986,@,Southern California,,L,16.0,31.0,
403,1986,9/20/1986,vs.,Nebraska,,L,14.0,59.0,
404,1986,10/4/1986,@,Ohio State,,L,0.0,14.0,
405,1986,10/11/1986,vs.,Purdue,,W,34.0,27.0,
406,1986,10/18/1986,vs.,Michigan State,,L,21.0,29.0,Homecoming
407,1986,10/25/1986,@,Wisconsin,,L,9.0,15.0,
408,1986,11/1/1986,@,Michigan,,L,13.0,69.0,
409,1986,11/8/1986,vs.,Iowa,,W,20.0,16.0,
410,1986,11/15/1986,@,Indiana,,W,21.0,16.0,
411,1986,11/22/1986,vs.,Northwestern,,L,18.0,23.0,
412,1985,9/7/1985,vs.,Southern California,,L,10.0,20.0,
413,1985,9/14/1985,vs.,Southern Illinois,,W,28.0,25.0,
414,1985,9/21/1985,@,Nebraska,,L,25.0,52.0,
415,1985,10/5/1985,vs.,Ohio State,,W,31.0,28.0,
416,1985,10/12/1985,@,Purdue,,L,24.0,30.0,
417,1985,10/19/1985,@,Michigan State,,W,30.0,17.0,
418,1985,10/26/1985,vs.,Wisconsin,,W,38.0,25.0,Homecoming
419,1985,11/2/1985,vs.,Michigan,,T,3.0,3.0,
420,1985,11/9/1985,@,Iowa,,L,0.0,59.0,
421,1985,11/16/1985,vs.,Indiana,,W,41.0,24.0,
422,1985,11/23/1985,@,Northwestern,,W,45.0,20.0,
423,1985,12/31/1985,"Atlanta, GA",Army,,L,29.0,31.0,Peach Bowl
424,1984,9/1/1984,vs.,Northwestern,,W,24.0,16.0,
425,1984,9/8/1984,vs.,Missouri,,W,30.0,24.0,
426,1984,9/15/1984,@,Stanford,,L,19.0,34.0,
427,1984,9/22/1984,vs.,Michigan State,,W,40.0,7.0,
428,1984,9/29/1984,@,Iowa,,L,16.0,21.0,
429,1984,10/6/1984,vs.,Wisconsin,,W,22.0,6.0,
430,1984,10/13/1984,@,Ohio State,,L,38.0,45.0,
431,1984,10/20/1984,vs.,Purdue,,W,34.0,20.0,
432,1984,10/27/1984,@,Michigan,,L,18.0,26.0,
433,1984,11/3/1984,vs.,Minnesota,,W,48.0,3.0,Homecoming
434,1984,11/10/1984,"Indianapolis, IN",Indiana,,W,34.0,7.0,
435,1983,1/2/1984,"Pasadena, CA",UCLA,,L,9.0,45.0,Rose Bowl
436,1983,9/10/1983,@,Missouri,,L,18.0,28.0,
437,1983,9/17/1983,vs.,Stanford,,W,17.0,7.0,
438,1983,9/24/1983,@,Michigan State,,W,20.0,10.0,
439,1983,10/1/1983,vs.,Iowa,,W,33.0,0.0,
440,1983,10/8/1983,@,Wisconsin,,W,27.0,15.0,
441,1983,10/15/1983,vs.,Ohio State,,W,17.0,13.0,Homecoming
442,1983,10/22/1983,@,Purdue,,W,35.0,21.0,
443,1983,10/29/1983,vs.,Michigan,,W,16.0,6.0,
444,1983,11/5/1983,@,Minnesota,,W,50.0,23.0,
445,1983,11/12/1983,vs.,Indiana,,W,49.0,21.0,
446,1983,11/19/1983,@,Northwestern,,W,56.0,24.0,
447,1982,9/4/1982,vs.,Northwestern,,W,49.0,13.0,
448,1982,9/11/1982,vs.,Michigan State,,W,23.0,16.0,
449,1982,9/18/1982,@,Syracuse,,W,47.0,10.0,
450,1982,9/25/1982,vs.,Pittsburgh,,L,3.0,20.0,
451,1982,10/2/1982,@,Minnesota,,W,42.0,24.0,
452,1982,10/9/1982,vs.,Purdue,,W,38.0,34.0,
453,1982,10/16/1982,vs.,Ohio State,,L,21.0,26.0,Homecoming
454,1982,10/23/1982,@,Wisconsin,,W,29.0,28.0,
455,1982,10/30/1982,@,Iowa,,L,13.0,14.0,
456,1982,11/6/1982,vs.,Michigan,,L,10.0,16.0,
457,1982,11/13/1982,@,Indiana,,W,48.0,7.0,
458,1982,12/29/1982,"Memphis, TN",Alabama,,L,15.0,21.0,Liberty Bowl
459,1981,9/5/1981,@,Pittsburgh,,L,6.0,26.0,
460,1981,9/12/1981,@,Michigan State,,W,27.0,17.0,
461,1981,9/19/1981,vs.,Syracuse,,W,17.0,14.0,
462,1981,10/3/1981,vs.,Minnesota,,W,38.0,29.0,
463,1981,10/10/1981,@,Purdue,,L,20.0,44.0,
464,1981,10/17/1981,@,Ohio State,,L,27.0,34.0,
465,1981,10/24/1981,vs.,Wisconsin,,W,23.0,21.0,Homecoming
466,1981,10/31/1981,vs.,Iowa,,W,24.0,7.0,
467,1981,11/7/1981,@,Michigan,,L,21.0,70.0,
468,1981,11/14/1981,vs.,Indiana,,W,35.0,14.0,
469,1981,11/21/1981,@,Northwestern,,W,49.0,12.0,
470,1980,9/6/1980,vs.,Northwestern,,W,35.0,9.0,
471,1980,9/13/1980,vs.,Michigan State,,W,20.0,17.0,
472,1980,9/20/1980,@,Missouri,,L,7.0,52.0,
473,1980,9/27/1980,vs.,Air Force,,T,20.0,20.0,
474,1980,10/4/1980,vs.,Mississippi State,,L,21.0,28.0,
475,1980,10/11/1980,@,Iowa,,W,20.0,14.0,
476,1980,10/18/1980,vs.,Purdue,,L,20.0,45.0,
477,1980,10/25/1980,@,Michigan,,L,14.0,45.0,
478,1980,11/1/1980,vs.,Minnesota,,L,18.0,21.0,Homecoming
479,1980,11/8/1980,@,Ohio State,,L,42.0,49.0,
480,1980,11/15/1980,@,Indiana,,L,24.0,26.0,
481,1979,9/8/1979,@,Michigan State,,L,16.0,33.0,
482,1979,9/15/1979,vs.,Missouri,,L,6.0,14.0,
483,1979,9/22/1979,@,Air Force,,W,27.0,19.0,
484,1979,9/29/1979,vs.,Navy,,L,12.0,13.0,
485,1979,10/6/1979,vs.,Iowa,,L,7.0,13.0,Homecoming
486,1979,10/13/1979,@,Purdue,,L,14.0,28.0,
487,1979,10/20/1979,vs.,Michigan,,L,7.0,27.0,
488,1979,10/27/1979,@,Minnesota,,T,17.0,17.0,
489,1979,11/3/1979,vs.,Ohio State,,L,7.0,44.0,
490,1979,11/10/1979,vs.,Indiana,,L,14.0,45.0,
491,1979,11/17/1979,@,Northwestern,,W,29.0,13.0,
492,1978,9/9/1978,vs.,Northwestern,,T,0.0,0.0,
493,1978,9/16/1978,@,Michigan,,L,0.0,31.0,
494,1978,9/23/1978,vs.,Stanford,,L,10.0,35.0,
495,1978,9/30/1978,@,Syracuse,,W,28.0,14.0,
496,1978,10/7/1978,@,Missouri,,L,3.0,45.0,
497,1978,10/14/1978,vs.,Wisconsin,,T,20.0,20.0,
498,1978,10/21/1978,vs.,Purdue,,L,0.0,13.0,
499,1978,10/28/1978,@,Indiana,,L,10.0,31.0,
500,1978,11/4/1978,vs.,Michigan State,,L,19.0,59.0,Homecoming
501,1978,11/11/1978,@,Ohio State,,L,7.0,45.0,
502,1978,11/18/1978,@,Minnesota,,L,6.0,24.0,
503,1977,9/10/1977,vs.,Michigan,,L,9.0,37.0,
504,1977,9/17/1977,vs.,Missouri,,W,11.0,7.0,
505,1977,9/24/1977,@,Stanford,,L,24.0,37.0,
506,1977,10/1/1977,vs.,Syracuse,,L,20.0,30.0,
507,1977,10/8/1977,@,Wisconsin,,L,0.0,26.0,
508,1977,10/15/1977,@,Purdue,,W,29.0,22.0,
509,1977,10/22/1977,vs.,Indiana,,W,21.0,7.0,
510,1977,10/29/1977,@,Michigan State,,L,20.0,49.0,
511,1977,11/5/1977,vs.,Ohio State,,L,0.0,35.0,Homecoming
512,1977,11/12/1977,vs.,Minnesota,,L,0.0,21.0,
513,1977,11/19/1977,@,Northwestern,,L,7.0,21.0,
514,1976,9/11/1976,vs.,Iowa,,W,24.0,6.0,
515,1976,9/18/1976,@,Missouri,,W,31.0,6.0,
516,1976,9/25/1976,vs.,Baylor,,L,19.0,34.0,
517,1976,10/2/1976,vs.,Texas A&M,,L,7.0,14.0,
518,1976,10/9/1976,@,Minnesota,,L,14.0,29.0,
519,1976,10/16/1976,@,Purdue,,W,21.0,17.0,
520,1976,10/23/1976,vs.,Michigan State,,L,23.0,31.0,
521,1976,10/30/1976,vs.,Wisconsin,,W,31.0,25.0,Homecoming
522,1976,11/6/1976,@,Ohio State,,L,10.0,42.0,
523,1976,11/13/1976,@,Michigan,,L,7.0,38.0,
524,1976,11/20/1976,vs.,Northwestern,,W,48.0,6.0,
525,1975,9/13/1975,@,Iowa,,W,27.0,12.0,
526,1975,9/20/1975,vs.,Missouri,,L,20.0,30.0,
527,1975,9/27/1975,@,Texas A&M,,L,13.0,43.0,
528,1975,10/4/1975,vs.,Washington State,,W,27.0,21.0,
529,1975,10/11/1975,vs.,Minnesota,,W,42.0,23.0,
530,1975,10/18/1975,vs.,Purdue,,L,24.0,26.0,Homecoming
531,1975,10/25/1975,@,Michigan State,,W,21.0,19.0,
532,1975,11/1/1975,@,Wisconsin,,L,9.0,18.0,
533,1975,11/8/1975,vs.,Ohio State,,L,3.0,40.0,
534,1975,11/15/1975,vs.,Michigan,,L,15.0,21.0,
535,1975,11/22/1975,@,Northwestern,,W,28.0,7.0,
536,1974,9/14/1974,vs.,Indiana,,W,16.0,0.0,
537,1974,9/21/1974,@,Stanford,,W,41.0,7.0,
538,1974,9/28/1974,vs.,Washington State,,W,21.0,19.0,
539,1974,10/5/1974,vs.,California,,L,14.0,31.0,
540,1974,10/12/1974,@,Purdue,,W,27.0,23.0,
541,1974,10/19/1974,vs.,Michigan State,,T,21.0,21.0,
542,1974,10/26/1974,@,Iowa,,L,12.0,14.0,
543,1974,11/2/1974,@,Ohio State,,L,7.0,49.0,
544,1974,11/9/1974,vs.,Michigan,,L,6.0,14.0,Homecoming
545,1974,11/16/1974,@,Minnesota,,W,17.0,14.0,
546,1974,11/23/1974,vs.,Northwestern,,W,28.0,14.0,
547,1973,9/15/1973,@,Indiana,,W,28.0,14.0,
548,1973,9/22/1973,@,California,,W,27.0,7.0,
549,1973,9/29/1973,vs.,West Virginia,,L,10.0,17.0,
550,1973,10/6/1973,vs.,Stanford,,L,0.0,24.0,
551,1973,10/13/1973,vs.,Purdue,,W,15.0,13.0,
552,1973,10/20/1973,@,Michigan State,,W,6.0,3.0,
553,1973,10/27/1973,vs.,Iowa,,W,50.0,0.0,Homecoming
554,1973,11/3/1973,vs.,Ohio State,,L,0.0,30.0,
555,1973,11/10/1973,@,Michigan,,L,6.0,21.0,
556,1973,11/17/1973,vs.,Minnesota,,L,16.0,19.0,
557,1973,11/24/1973,@,Northwestern,,L,6.0,9.0,
558,1972,9/16/1972,vs.,Michigan State,,L,0.0,24.0,
559,1972,9/23/1972,vs.,Southern California,,L,20.0,55.0,
560,1972,9/30/1972,@,Washington,,L,11.0,31.0,
561,1972,10/7/1972,vs.,Penn State,,L,17.0,35.0,
562,1972,10/14/1972,@,Ohio State,,L,7.0,26.0,
563,1972,10/21/1972,vs.,Michigan,,L,7.0,31.0,Homecoming
564,1972,10/28/1972,@,Purdue,,L,14.0,20.0,
565,1972,11/4/1972,@,Northwestern,,W,43.0,13.0,
566,1972,11/11/1972,vs.,Indiana,,W,37.0,20.0,
567,1972,11/18/1972,vs.,Wisconsin,,W,27.0,7.0,
568,1972,11/25/1972,@,Iowa,,L,14.0,15.0,
569,1971,9/11/1971,@,Michigan State,,L,0.0,10.0,
570,1971,9/18/1971,vs.,North Carolina,,L,0.0,27.0,
571,1971,9/25/1971,@,Southern California,,L,0.0,28.0,
572,1971,10/2/1971,vs.,Washington,,L,14.0,52.0,
573,1971,10/9/1971,vs.,Ohio State,,L,10.0,24.0,
574,1971,10/16/1971,@,Michigan,,L,6.0,35.0,
575,1971,10/23/1971,vs.,Purdue,,W,21.0,7.0,Homecoming
576,1971,10/30/1971,vs.,Northwestern,,W,24.0,7.0,
577,1971,11/6/1971,@,Indiana,,W,22.0,21.0,
578,1971,11/13/1971,@,Wisconsin,,W,35.0,27.0,
579,1971,11/20/1971,vs.,Iowa,,W,31.0,0.0,
580,1970,9/19/1970,vs.,Oregon,,W,20.0,16.0,
581,1970,9/26/1970,vs.,Tulane,,L,9.0,23.0,
582,1970,10/3/1970,vs.,Syracuse,,W,27.0,0.0,
583,1970,10/10/1970,@,Northwestern,,L,0.0,48.0,
584,1970,10/17/1970,vs.,Indiana,,L,24.0,30.0,Homecoming
585,1970,10/24/1970,vs.,Ohio State,,L,29.0,48.0,
586,1970,10/31/1970,@,Purdue,,W,23.0,21.0,
587,1970,11/7/1970,@,Michigan,,L,0.0,42.0,
588,1970,11/14/1970,vs.,Wisconsin,,L,17.0,29.0,
589,1970,11/21/1970,@,Iowa,,L,16.0,22.0,
590,1969,9/20/1969,vs.,Washington State,,L,18.0,19.0,
591,1969,9/27/1969,"St. Louis, MO",Missouri,,L,6.0,37.0,
592,1969,10/4/1969,vs.,Iowa State,,L,20.0,48.0,
593,1969,10/11/1969,vs.,Northwestern,,L,6.0,10.0,
594,1969,10/18/1969,@,Indiana,,L,20.0,41.0,
595,1969,10/25/1969,@,Ohio State,,L,0.0,41.0,
596,1969,11/1/1969,vs.,Purdue,,L,22.0,49.0,Homecoming
597,1969,11/8/1969,vs.,Michigan,,L,0.0,57.0,
598,1969,11/15/1969,@,Wisconsin,,L,14.0,55.0,
599,1969,11/22/1969,vs.,Iowa,,L,0.0,40.0,
600,1968,9/21/1968,vs.,Kansas,,L,7.0,47.0,
601,1968,9/28/1968,vs.,Missouri,,L,0.0,44.0,
602,1968,10/5/1968,@,Indiana,,L,14.0,28.0,
603,1968,10/12/1968,@,Minnesota,,L,10.0,17.0,
604,1968,10/19/1968,@,Notre Dame,,L,8.0,58.0,
605,1968,10/26/1968,vs.,Ohio State,,L,24.0,31.0,Homecoming
606,1968,11/2/1968,@,Purdue,,L,17.0,35.0,
607,1968,11/9/1968,@,Michigan,,L,0.0,36.0,
608,1968,11/16/1968,vs.,Northwestern,,W,14.0,0.0,
609,1968,11/23/1968,vs.,Iowa,,L,13.0,37.0,
610,1967,9/23/1967,@,Florida,,L,0.0,14.0,
611,1967,9/30/1967,vs.,Pittsburgh,,W,34.0,6.0,
612,1967,10/7/1967,vs.,Indiana,,L,7.0,20.0,
613,1967,10/14/1967,vs.,Minnesota,,L,7.0,10.0,Homecoming
614,1967,10/21/1967,vs.,Notre Dame,,L,7.0,47.0,
615,1967,10/28/1967,@,Ohio State,,W,17.0,13.0,
616,1967,11/4/1967,vs.,Purdue,,L,9.0,42.0,
617,1967,11/11/1967,vs.,Michigan,,L,14.0,21.0,
618,1967,11/18/1967,@,Northwestern,,W,27.0,21.0,
619,1967,11/25/1967,@,Iowa,,W,21.0,19.0,
620,1966,9/17/1966,@,Southern Methodist,,L,7.0,26.0,
621,1966,9/24/1966,vs.,Missouri,,L,14.0,21.0,
622,1966,10/1/1966,vs.,Michigan State,,L,10.0,26.0,
623,1966,10/8/1966,vs.,Ohio State,,W,10.0,9.0,
624,1966,10/15/1966,@,Indiana,,W,24.0,10.0,
625,1966,10/22/1966,vs.,Stanford,,L,3.0,6.0,Homecoming
626,1966,10/29/1966,@,Purdue,,L,21.0,25.0,
627,1966,11/5/1966,@,Michigan,,W,28.0,21.0,
628,1966,11/12/1966,vs.,Wisconsin,,W,49.0,14.0,
629,1966,11/19/1966,@,Northwestern,,L,7.0,35.0,
630,1965,9/18/1965,vs.,Oregon State,,L,10.0,12.0,
631,1965,9/25/1965,vs.,Southern Methodist,,W,42.0,0.0,
632,1965,10/2/1965,@,Michigan State,,L,12.0,22.0,
633,1965,10/9/1965,@,Ohio State,,L,14.0,28.0,
634,1965,10/16/1965,vs.,Indiana,,W,34.0,13.0,Homecoming
635,1965,10/23/1965,vs.,Duke,,W,28.0,14.0,
636,1965,10/30/1965,vs.,Purdue,,W,21.0,0.0,
637,1965,11/6/1965,vs.,Michigan,,L,3.0,23.0,
638,1965,11/13/1965,@,Wisconsin,,W,51.0,0.0,
639,1965,11/20/1965,@,Northwestern,,W,20.0,6.0,
640,1964,9/26/1964,@,California,,W,20.0,14.0,
641,1964,10/3/1964,@,Northwestern,,W,17.0,6.0,
642,1964,10/10/1964,vs.,Ohio State,,L,0.0,26.0,Homecoming
643,1964,10/17/1964,@,Minnesota,,W,14.0,0.0,
644,1964,10/24/1964,vs.,UCLA,,W,26.0,7.0,
645,1964,10/31/1964,@,Purdue,,L,14.0,26.0,
646,1964,11/7/1964,@,Michigan,,L,6.0,21.0,
647,1964,11/14/1964,vs.,Wisconsin,,W,29.0,0.0,
648,1964,11/21/1964,vs.,Michigan State,,W,16.0,0.0,
649,1963,1/1/1964,"Pasadena, CA",Washington,,W,17.0,7.0,Rose Bowl
650,1963,9/28/1963,vs.,California,,W,10.0,0.0,
651,1963,10/5/1963,vs.,Northwestern,,W,10.0,9.0,
652,1963,10/12/1963,@,Ohio State,,T,20.0,20.0,
653,1963,10/19/1963,vs.,Minnesota,,W,16.0,6.0,Homecoming
654,1963,10/25/1963,@,UCLA,,W,18.0,12.0,
655,1963,11/2/1963,vs.,Purdue,,W,41.0,21.0,
656,1963,11/9/1963,vs.,Michigan,,L,8.0,14.0,
657,1963,11/16/1963,@,Wisconsin,,W,17.0,7.0,
658,1963,11/28/1963,@,Michigan State,,W,13.0,0.0,
659,1962,9/29/1962,@,Washington,,L,7.0,28.0,
660,1962,10/6/1962,@,Northwestern,,L,0.0,45.0,
661,1962,10/13/1962,vs.,Ohio State,,L,15.0,51.0,Homecoming
662,1962,10/20/1962,@,Minnesota,,L,0.0,17.0,
663,1962,10/27/1962,vs.,Southern California,,L,16.0,28.0,
664,1962,11/3/1962,@,Purdue,,W,14.0,10.0,
665,1962,11/10/1962,@,Michigan,,L,10.0,14.0,
666,1962,11/17/1962,vs.,Wisconsin,,L,6.0,35.0,
667,1962,11/24/1962,vs.,Michigan State,,W,7.0,6.0,
668,1961,9/30/1961,vs.,Washington,,L,7.0,20.0,
669,1961,10/7/1961,vs.,Northwestern,,L,7.0,28.0,
670,1961,10/14/1961,@,Ohio State,,L,0.0,44.0,
671,1961,10/21/1961,vs.,Minnesota,,L,0.0,33.0,Homecoming
672,1961,10/28/1961,@,Southern California,,L,10.0,14.0,
673,1961,11/4/1961,vs.,Purdue,,L,9.0,23.0,
674,1961,11/11/1961,vs.,Michigan,,L,6.0,38.0,
675,1961,11/18/1961,@,Wisconsin,,L,7.0,55.0,
676,1961,11/25/1961,@,Michigan State,,L,7.0,34.0,
677,1960,9/24/1960,vs.,Indiana,,W,17.0,6.0,
678,1960,10/1/1960,vs.,West Virginia,,W,33.0,0.0,
679,1960,10/8/1960,vs.,Ohio State,,L,7.0,34.0,Homecoming
680,1960,10/15/1960,@,Minnesota,,L,10.0,21.0,
681,1960,10/22/1960,vs.,Penn State,,W,10.0,8.0,
682,1960,10/29/1960,@,Purdue,,W,14.0,12.0,
683,1960,11/5/1960,@,Michigan,,L,7.0,8.0,
684,1960,11/12/1960,vs.,Wisconsin,,W,35.0,14.0,
685,1960,11/19/1960,@,Northwestern,,L,7.0,14.0,
686,1959,9/26/1959,@,Indiana,,L,0.0,20.0,
687,1959,10/3/1959,vs.,Army,,W,20.0,14.0,
688,1959,10/10/1959,@,Ohio State,,W,9.0,0.0,
689,1959,10/17/1959,vs.,Minnesota,,W,14.0,6.0,Homecoming
690,1959,10/24/1959,"Cleveland, OH",Penn State,,L,9.0,20.0,
691,1959,10/31/1959,vs.,Purdue,,T,7.0,7.0,
692,1959,11/7/1959,vs.,Michigan,,L,15.0,20.0,
693,1959,11/14/1959,@,Wisconsin,,W,9.0,6.0,
694,1959,11/21/1959,vs.,Northwestern,,W,28.0,0.0,
695,1958,9/27/1958,vs.,UCLA,,L,14.0,18.0,
696,1958,10/4/1958,@,Duke,,L,13.0,15.0,
697,1958,10/11/1958,vs.,Ohio State,,L,13.0,19.0,
698,1958,10/18/1958,@,Minnesota,,W,20.0,8.0,
699,1958,10/25/1958,vs.,Michigan State,,W,16.0,0.0,Homecoming
700,1958,11/1/1958,@,Purdue,,L,8.0,31.0,
701,1958,11/8/1958,@,Michigan,,W,21.0,8.0,
702,1958,11/15/1958,vs.,Wisconsin,,L,12.0,31.0,
703,1958,11/22/1958,vs.,Northwestern,,W,27.0,20.0,
704,1957,9/27/1957,@,UCLA,,L,6.0,16.0,
705,1957,10/5/1957,vs.,Colgate,,W,40.0,0.0,
706,1957,10/12/1957,@,Ohio State,,L,7.0,21.0,
707,1957,10/19/1957,vs.,Minnesota,,W,34.0,13.0,Homecoming
708,1957,10/26/1957,@,Michigan State,,L,14.0,19.0,
709,1957,11/2/1957,vs.,Purdue,,L,6.0,21.0,
710,1957,11/9/1957,vs.,Michigan,,W,20.0,19.0,
711,1957,11/16/1957,@,Wisconsin,,L,13.0,24.0,
712,1957,11/23/1957,vs.,Northwestern,,W,27.0,0.0,
713,1956,9/29/1956,vs.,California,,W,32.0,20.0,
714,1956,10/6/1956,@,Washington,,L,13.0,28.0,
715,1956,10/13/1956,vs.,Ohio State,,L,6.0,26.0,
716,1956,10/20/1956,@,Minnesota,,L,13.0,16.0,
717,1956,10/27/1956,vs.,Michigan State,,W,20.0,13.0,Homecoming
718,1956,11/3/1956,@,Purdue,,T,7.0,7.0,
719,1956,11/10/1956,@,Michigan,,L,7.0,17.0,
720,1956,11/17/1956,vs.,Wisconsin,,T,13.0,13.0,
721,1956,11/24/1956,@,Northwestern,,L,13.0,14.0,
722,1955,9/24/1955,@,California,,W,20.0,13.0,
723,1955,10/1/1955,vs.,Iowa State,,W,40.0,0.0,
724,1955,10/8/1955,@,Ohio State,,L,12.0,27.0,
725,1955,10/15/1955,vs.,Minnesota,,W,21.0,13.0,
726,1955,10/22/1955,@,Michigan State,,L,7.0,21.0,
727,1955,10/29/1955,vs.,Purdue,,L,0.0,13.0,Homecoming
728,1955,11/5/1955,vs.,Michigan,,W,25.0,6.0,
729,1955,11/12/1955,@,Wisconsin,,W,17.0,14.0,
730,1955,11/19/1955,@,Northwestern,,T,7.0,7.0,
731,1954,9/25/1954,vs.,Penn State,,L,12.0,14.0,
732,1954,10/2/1954,@,Stanford,,L,2.0,12.0,
733,1954,10/9/1954,vs.,Ohio State,,L,7.0,40.0,
734,1954,10/16/1954,@,Minnesota,,L,6.0,19.0,
735,1954,10/23/1954,vs.,Syracuse,,W,34.0,6.0,
736,1954,10/30/1954,@,Purdue,,L,14.0,28.0,
737,1954,11/6/1954,@,Michigan,,L,7.0,14.0,
738,1954,11/13/1954,vs.,Wisconsin,,L,14.0,27.0,Homecoming
739,1954,11/20/1954,vs.,Northwestern,,L,7.0,20.0,
740,1953,9/26/1953,vs.,Nebraska,,T,21.0,21.0,
741,1953,10/3/1953,vs.,Stanford,,W,33.0,21.0,
742,1953,10/10/1953,@,Ohio State,,W,41.0,20.0,
743,1953,10/17/1953,vs.,Minnesota,,W,27.0,7.0,
744,1953,10/24/1953,vs.,Syracuse,,W,20.0,13.0,
745,1953,10/31/1953,vs.,Purdue,,W,21.0,0.0,
746,1953,11/7/1953,vs.,Michigan,,W,19.0,3.0,Homecoming
747,1953,11/14/1953,@,Wisconsin,,L,7.0,34.0,
748,1953,11/21/1953,@,Northwestern,,W,39.0,14.0,
749,1952,9/27/1952,vs.,Iowa State,,W,33.0,7.0,
750,1952,10/4/1952,@,Wisconsin,,L,6.0,20.0,
751,1952,10/11/1952,vs.,Washington,,W,48.0,14.0,
752,1952,10/18/1952,@,Minnesota,,L,7.0,13.0,
753,1952,10/25/1952,vs.,Purdue,,L,12.0,40.0,Homecoming
754,1952,11/1/1952,@,Michigan,,W,22.0,13.0,
755,1952,11/8/1952,@,Iowa,,W,33.0,13.0,
756,1952,11/15/1952,vs.,Ohio State,,L,7.0,27.0,
757,1952,11/22/1952,vs.,Northwestern,,L,26.0,28.0,
758,1951,1/1/1952,"Pasadena, CA",Stanford,,W,40.0,7.0,Rose Bowl
759,1951,9/29/1951,vs.,UCLA,,W,27.0,13.0,
760,1951,10/6/1951,vs.,Wisconsin,,W,14.0,10.0,
761,1951,10/13/1951,@,Syracuse,,W,41.0,20.0,
762,1951,10/20/1951,@,Washington,,W,27.0,20.0,
763,1951,10/27/1951,@,Indiana,,W,21.0,0.0,
764,1951,11/3/1951,vs.,Michigan,,W,7.0,0.0,
765,1951,11/10/1951,vs.,Iowa,,W,40.0,13.0,Homecoming
766,1951,11/17/1951,@,Ohio State,,T,0.0,0.0,
767,1951,11/24/1951,@,Northwestern,,W,3.0,0.0,
768,1950,9/30/1950,vs.,Ohio,,W,28.0,2.0,
769,1950,10/7/1950,vs.,Wisconsin,,L,6.0,7.0,
770,1950,10/13/1950,@,UCLA,,W,14.0,6.0,
771,1950,10/21/1950,vs.,Washington,,W,20.0,13.0,
772,1950,10/28/1950,vs.,Indiana,,W,20.0,0.0,Homecoming
773,1950,11/4/1950,@,Michigan,,W,7.0,0.0,
774,1950,11/11/1950,@,Iowa,,W,21.0,7.0,
775,1950,11/18/1950,vs.,Ohio State,,W,14.0,7.0,
776,1950,11/25/1950,@,Northwestern,,L,7.0,14.0,
777,1949,9/24/1949,vs.,Iowa State,,T,20.0,20.0,
778,1949,10/1/1949,vs.,Wisconsin,,T,13.0,13.0,
779,1949,10/8/1949,@,Iowa,,W,20.0,14.0,
780,1949,10/15/1949,vs.,Missouri,,L,20.0,27.0,
781,1949,10/22/1949,@,Purdue,,W,19.0,0.0,
782,1949,10/29/1949,vs.,Michigan,,L,0.0,13.0,
783,1949,11/5/1949,vs.,Indiana,,W,33.0,14.0,
784,1949,11/12/1949,@,Ohio State,,L,17.0,30.0,
785,1949,11/19/1949,vs.,Northwestern,,L,7.0,9.0,Homecoming
786,1948,9/25/1948,vs.,Kansas State,,W,40.0,0.0,
787,1948,10/2/1948,@,Wisconsin,,L,16.0,20.0,
788,1948,10/9/1948,vs.,Army,,L,21.0,26.0,
789,1948,10/16/1948,@,Minnesota,,L,0.0,6.0,
790,1948,10/23/1948,vs.,Purdue,,W,10.0,6.0,
791,1948,10/30/1948,@,Michigan,,L,20.0,28.0,
792,1948,11/6/1948,vs.,Iowa,,W,14.0,0.0,
793,1948,11/13/1948,vs.,Ohio State,,L,7.0,34.0,Homecoming
794,1948,11/20/1948,@,Northwestern,,L,7.0,20.0,
795,1947,9/27/1947,vs.,Pittsburgh,,W,14.0,0.0,
796,1947,10/4/1947,@,Iowa,,W,35.0,12.0,
797,1947,10/11/1947,"Bronx, NY",Army,,T,0.0,0.0,
798,1947,10/18/1947,vs.,Minnesota,,W,40.0,13.0,
799,1947,10/25/1947,@,Purdue,,L,7.0,14.0,
800,1947,11/1/1947,vs.,Michigan,,L,7.0,14.0,Homecoming
801,1947,11/8/1947,vs.,Western Michigan,,W,60.0,14.0,
802,1947,11/15/1947,@,Ohio State,,W,28.0,7.0,
803,1947,11/22/1947,vs.,Northwestern,,L,13.0,28.0,
804,1946,1/1/1947,"Pasadena, CA",UCLA,,W,45.0,14.0,Rose Bowl
805,1946,9/21/1946,@,Pittsburgh,,W,33.0,7.0,
806,1946,9/28/1946,vs.,Notre Dame,,L,6.0,26.0,
807,1946,10/5/1946,vs.,Purdue,,W,43.0,7.0,
808,1946,10/12/1946,@,Indiana,,L,7.0,14.0,
809,1946,10/19/1946,vs.,Wisconsin,,W,27.0,21.0,Homecoming
810,1946,10/26/1946,@,Michigan,,W,13.0,9.0,
811,1946,11/2/1946,@,Iowa,,W,7.0,0.0,
812,1946,11/16/1946,vs.,Ohio State,,W,16.0,7.0,
813,1946,11/23/1946,@,Northwestern,,W,20.0,0.0,
814,1945,9/22/1945,vs.,Pittsburgh,,W,23.0,6.0,
815,1945,9/29/1945,@,Notre Dame,,L,0.0,7.0,
